Wall time,Step,Value
1685913252.1901546,39,0.7239506244659424
1685913252.645757,79,0.6611839532852173
1685913253.0635545,119,0.5281695127487183
1685913253.3074803,139,0.4294278621673584
1685913253.749431,179,0.41146546602249146
1685913254.2073493,219,0.38683274388313293
1685913254.4548132,239,0.32832255959510803
1685913254.6794267,259,0.4317474961280823
1685913254.8957412,279,0.31155458092689514
1685913255.141065,299,0.4473075568675995
1685913255.3715417,319,0.3501237630844116
1685913255.5837557,339,0.3229089677333832
1685913255.821253,359,0.32650211453437805
1685913256.0489485,379,0.3273368179798126
1685913256.2766848,399,0.29052990674972534
1685913256.5125213,419,0.5675137042999268
1685913256.9697585,459,0.3030952215194702
1685913257.4211802,499,0.428997665643692
1685913257.653188,519,0.2962600290775299
1685913258.796728,619,0.2697225511074066
1685913259.0415087,639,0.3595612049102783
1685913259.262003,659,0.6129587292671204
1685913259.480324,679,0.27596965432167053
1685913259.7171226,699,0.33115601539611816
1685913260.165622,739,0.6468202471733093
1685913260.8609953,799,0.30838027596473694
1685913261.1032617,819,0.31011053919792175
1685913261.5592675,859,0.23583197593688965
1685913261.808862,879,0.24706505239009857
1685913262.0275848,899,0.2832835614681244
1685913262.2417953,919,0.28623127937316895
1685913262.490827,939,0.3701649010181427
1685913262.7166216,959,0.2723173201084137
1685913263.1826706,999,0.26282230019569397
1685913263.4121583,1019,0.27086544036865234
1685913264.1088064,1079,0.3052641749382019
1685913264.3658094,1099,0.23040416836738586
1685913264.6058025,1119,0.3112853467464447
1685913264.8342867,1139,0.3489558696746826
1685913265.0706775,1159,0.28133782744407654
1685913265.7645972,1219,0.22088029980659485
1685913265.999965,1239,0.2772636115550995
1685913266.219865,1259,0.31317323446273804
1685913266.438131,1279,0.39645230770111084
1685913266.6765964,1299,0.2912771701812744
1685913266.92552,1319,0.2664303183555603
1685913267.1531336,1339,0.22626636922359467
1685913267.3799808,1359,0.2623405456542969
1685913267.6063576,1379,0.39946380257606506
1685913267.8585787,1399,0.3452000021934509
1685913268.3207128,1439,0.23903398215770721
1685913268.5603743,1459,0.27007123827934265
1685913268.7795753,1479,0.22850947082042694
1685913269.0053957,1499,0.24431738257408142
1685913269.4489367,1539,0.22862552106380463
1685913269.9074821,1579,0.5679174065589905
1685913270.1300893,1599,0.26633012294769287
1685913270.5847268,1639,0.3057306110858917
1685913270.8085454,1659,0.27033594250679016
1685913271.262163,1699,0.21396298706531525
1685913271.518036,1719,0.23021365702152252
1685913271.7344582,1739,0.35202541947364807
1685913271.9641669,1759,0.33455994725227356
1685913277.3926413,1779,0.1957201510667801
1685913277.6584516,1799,0.24360498785972595
1685913278.1007893,1839,0.3374950587749481
1685913278.3512475,1859,0.21521012485027313
1685913278.5836673,1879,0.2101285457611084
1685913278.8094728,1899,0.25647875666618347
1685913279.274357,1939,0.23623932898044586
